Id,Probability
1,0.07332018
2,0.063095964
3,0.016296523
4,0.07348792
5,0.09544271
6,0.0317753
7,0.028510164
8,0.029373555
9,0.004248442
10,0.8136351
11,0.010660167
12,0.018344844
13,0.009127474
14,0.054808743
15,0.05247432
16,0.01396993
17,0.031848922
18,0.013921623
19,0.16323787
20,0.0822377
21,0.010393252
22,0.011112466
23,0.0058544073
24,0.55514
25,0.06769558
26,0.01611753
27,0.08706732
28,0.0118528465
29,0.060273867
30,0.019789113
31,0.073364675
32,0.009010932
33,0.017210647
34,0.0774845
35,0.3530855
36,0.062652625
37,0.03910515
38,0.015360342
39,0.012247706
40,0.07228499
41,0.25307897
42,0.25131872
43,0.0883282
44,0.0073898444
45,0.06021568
46,0.005823487
47,0.00574447
48,0.016641956
49,0.021677129
50,0.031634647
51,0.01559707
52,0.04231867
53,0.007812743
54,0.0604597
55,0.020662531
56,0.066753425
57,0.007868963
58,0.097611524
59,0.07563618
60,0.1024706
61,0.014438948
62,0.00642947
63,0.022155965
64,0.009688344
65,0.013731829
66,0.025538368
67,0.011239303
68,0.13471146
69,0.00793171
70,0.84070617
71,0.019137207
72,0.12780227
73,0.0077820234
74,0.14640948
75,0.017459434
76,0.037107997
77,0.08104329
78,0.038437832
79,0.029913098
80,0.019172873
81,0.016785609
82,0.012279583
83,0.035198756
84,0.008233119
85,0.016069336
86,0.016154593
87,0.056941554
88,0.012903079
89,0.0399025
90,0.017923798
91,0.055719335
92,0.01628577
93,0.009881147
94,0.022637611
95,0.0048733917
96,0.169989
97,0.028383477
98,0.06503193
99,0.015132854
100,0.01150547
101,0.05613044
102,0.070942044
103,0.009265676
104,0.0644995
105,0.06250115
106,0.031291183
107,0.28579518
108,0.014744198
109,0.00719684
110,0.019132877
111,0.02067683
112,0.020895388
113,0.025104607
114,0.47751123
115,0.07826989
116,0.009124831
117,0.0048058624
118,0.074836075
119,0.013259562
120,0.009420013
121,0.012764204
122,0.060073104
123,0.016131993
124,0.6841529
125,0.007339522
126,0.014395036
127,0.013826689
128,0.015173136
129,0.006929746
130,0.051151037
131,0.031464137
132,0.066371866
133,0.0067554982
134,0.060184266
135,0.07224654
136,0.012530245
137,0.15081005
138,0.04004985
139,0.006665227
140,0.016583525
141,0.0061319633
142,0.017924227
143,0.0063530654
144,0.016835464
145,0.34880617
146,0.010796498
147,0.007053451
148,0.0917368
149,0.008583489
150,0.045544792
151,0.0059797517
152,0.010374866
153,0.010660826
154,0.013909094
155,0.016060177
156,0.020749459
157,0.052542124
158,0.0073751123
159,0.12089193
160,0.022651874
161,0.006989758
162,0.012018012
163,0.019011682
164,0.06249986
165,0.011476075
166,0.02621831
167,0.65296066
168,0.021773994
169,0.19329719
170,0.012722606
171,0.005391613
172,0.022750774
173,0.017419372
174,0.050444916
175,0.016067768
176,0.31812572
177,0.020138163
178,0.080782935
179,0.011183941
180,0.010155119
181,0.033099137
182,0.010889809
183,0.02344977
184,0.012789453
185,0.13868193
186,0.014228037
187,0.00953081
188,0.03068468
189,0.039787825
190,0.024188364
191,0.015493148
192,0.03331693
193,0.011581483
194,0.07793706
195,0.013364375
196,0.032609258
197,0.010569152
198,0.00800173
199,0.008364697
200,0.009257135
201,0.07034
202,0.021349031
203,0.35614502
204,0.043598063
205,0.02215558
206,0.010982037
207,0.02344587
208,0.00512877
209,0.07929564
210,0.00742672
211,0.12676314
212,0.02545379
213,0.020615872
214,0.009476036
215,0.027347637
216,0.08329531
217,0.0077022584
218,0.046711206
219,0.018444965
220,0.0064503914
221,0.016633509
222,0.008070362
223,0.017442534
224,0.012457447
225,0.008647063
226,0.08515471
227,0.007678421
228,0.069954574
229,0.05982537
230,0.477229
231,0.21902202
232,0.014417521
233,0.013045951
234,0.009662926
235,0.0051331245
236,0.21307649
237,0.05480374
238,0.0055863955
239,0.017424008
240,0.02080606
241,0.049404677
242,0.0138251595
243,0.006951036
244,0.021299038
245,0.07208197
246,0.01042507
247,0.044382434
248,0.006479739
249,0.016735936
250,0.273932
251,0.032778077
252,0.26219463
253,0.0057860697
254,0.09443084
255,0.005702416
256,0.010380112
257,0.041212022
258,0.15481862
259,0.051855896
260,0.12004484
261,0.010414815
262,0.025507655
263,0.0063129617
264,0.053149484
265,0.07603492
266,0.017117579
267,0.077375166
268,0.052030053
269,0.14699003
270,0.008552208
271,0.027114801
272,0.044680547
273,0.008986792
274,0.01212383
275,0.00968592
276,0.028114969
277,0.016966514
278,0.013490335
279,0.06760606
280,0.024697734
281,0.7015708
282,0.03151572
283,0.049216412
284,0.014544187
285,0.008720435
286,0.010372061
287,0.014343804
288,0.03984389
289,0.065729074
290,0.0704544
291,0.28022352
292,0.007346512
293,0.036473956
294,0.009679426
295,0.006301244
296,0.029183926
297,0.011243204
298,0.024713406
299,0.007344304
300,0.010752191
301,0.0564989
302,0.009041945
303,0.010286597
304,0.008737236
305,0.36568922
306,0.034928393
307,0.0074662277
308,0.8136351
309,0.25567287
310,0.0118650785
311,0.4602139
312,0.014339329
313,0.2331495
314,0.038007565
315,0.045894276
316,0.08245165
317,0.29620752
318,0.009610428
319,0.009955242
320,0.09275766
321,0.10624769
322,0.013519468
323,0.012876973
324,0.009531701
325,0.048670955
326,0.0105417175
327,0.020141201
328,0.010880388
329,0.02073177
330,0.00829154
331,0.012855672
332,0.015074398
333,0.0118975425
334,0.028623493
335,0.032212365
336,0.046111275
337,0.014326907
338,0.17166926
339,0.02966652
340,0.010484228
341,0.005239229
342,0.01559521
343,0.016806137
344,0.037547726
345,0.020702424
346,0.022430208
347,0.36380735
348,0.13592151
349,0.01872033
350,0.0083749825
